ID,District,County,Route,BackPM,AheadPM,EA,EFIS,TYP,RTL Award,Activity Category,Support Cost ($K),R/W Capital ($K),Construction Capital ($K),Total ($K),Status,Activity/Project Location
MB000514,4,SM,280,,,1W050,420000320.0,,,Mobility - ADA (201.361),180,10,99,289,Active,"In San Mateo County, on Route 280 at intersection of southbound onramp and Foothill Expressway. Install crosswalk with Rectangular Rapid Flashing Beacon (RRFB), curb ramp and extend sidewalk."
MB000515,4,SON,12,,,0W980,420000317.0,,,Mobility - ADA (201.361),180,10,156,346,Active,"In Sonoma County, on Route 12. Install two Americans with Disabilities Act (ADA) curb ramps."
MA000554,4,SM,84,24.6,25,0P110,417000398.0,,03/26/21,Pavement (201.121),0,0,0,0,Active,"In San Mateo County, in Redwood City from 0.3 mile north of Hess Road to 0.1 mile south of Middlefield Road. Pavement rehabilitation."
MA000560,4,ALA,980,1.2,1.2,2AC80,420000124.0,,,Mobility - TMS (201.315),500,0,1250,1750,Active,"In Alameda County, in the city of Oakland at the Caltrans District Office Transportation Management Center (TMC). Replace TMC theater consoles, cabinets, and flooring."
MA000561,4,ALA,980,1.2,1.2,4AC20,420000138.0,,,Mobility - TMS (201.315),455,10,620,1085,Active,"In Alameda, Contra Costa, Marin, Santa Clara, San Francisco, San Mateo and Solano Counties, on various routes at various locations. Repair/restore non-functional electrical elements (no end life replacement)."
MB000563,4,SM,84,22.1,22.1,0W410,420000231.0,,,Major Damage - Emergency Opening (201.130),152,0,333,485,Active,"In San Mateo County, in the Town of Woodside on Route 84 near High Road. Injection grouting."
MB000564,4,MRN,1,40.11,40.11,0W550,420000261.0,,,Major Damage - Emergency Opening (201.130),152,0,333,485,Active,"In Marin County, near the town of Marshall on Route 1. Replace culvert."
MB000568,4,SF,80,4.9,4.9,0W650,420000274.0,,,Roadside (201.235),800,5,650,1455,Active,"In the City and County of San Francisco, at the 5th Street Undercrossing. Install fence, maintenance gate, drive access and replace K-rail with approve traffic safety device."
MB000570,4,SM,92,R11.3,R11.5,0W690,420000278.0,,,Major Damage - Emergency Opening (201.130),152,0,314,466,Active,"In San Mateo County, in the city of San Mateo on Route 92 between Delaware Street and El Camino Real. Injection grouting."
MA000572,4,CC,680,R0.0,R7.6,0W770,420000291.0,,03/09/21,Pavement (201.121),0,0,0,0,Active,"In Contra Costa County, in San Ramon and Danville from 0.1 mile south of Alcosta Boulevard to Diablo Road. PCC Slab Replacement."
MB000574,4,ALA,84,R5.394,R5.984,0W790,420000293.0,,,Pavement (201.121),94,5,320,419,Active,"In Alameda County, in Newark from Lake Boulevard to 84/880 Separation (northbound only). Pavement rehabilitation."
MB000575,4,ALA,580,,,0W810,420000297.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"In Alameda County, in the city of Oakland on Route 580 near Maybelle Avenue. Repair sound walls."
MB000577,4,ALA,80,,,0W920,420000309.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"In Alameda County, in the city of Berkeley on Route 80 near University Avenue and in the city of Oakland on Route 580 near Grand Avenue. Injection grouting."
MB000694,4,CC,680,,,0W430,420000238.0,,,Pavement (201.121),0,0,333,333,Active,
MB000743,4,SOL,80,20.9,20.96,1W360,421000003.0,,02/16/21,Pavement (201.121),0,0,0,0,Active,PCC Slab Replacement on WB Sol-80.
MB000772,4,SOL,80,,,1W530,421000039.0,,,Major Damage - Emergency Opening (201.130),0,0,95,95,Active,Replace broken water line at CHP Cordelia weigh station.
MB000773,4,ALA,880,31.0,31.0,3AA00,420000050.0,,03/19/20,Major Damage - Emergency Opening (201.130),0,0,0,0,Active,Repair Bridge Deck Failure on SB 880 at Madison St. UC Br. No. 33-0198 in the City of Oakland.
MB000793,4,SON,1,49.83,50.02,3AA30,420000059.0,,,Major Damage - Emergency Opening (201.130),152,0,333,485,Active,"In Sonoma County, near Sea Ranch, 1 mile south of Black Point Beach, at intersection of Route 1 and Yardarm Drive / Replace culverts and construct rock slope protection"
MB000829,4,ALA,580,,,0W800,420000296.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,04-Ala-580 PM 45.1 - Install Deterrent Barrier
MA000835,4,SON,116,,,2W040,421000130.0,,,Safety - Collision Reduction (201.015),420,20,460,900,Active,"East of Fratas Road to West of Stage Gulch Road, Petaluma. Install centerline and shoulder rumble strips."
MA000838,4,SCL,82,,,2W030,421000129.0,,,Safety - Collision Reduction (201.015),420,20,866,1306,Active,At the Intersection of SR 82 and Lawrence Expressway SB Off-ramp. Upgrade Safety Lighting and Signal
MA000839,4,ALA,80,,,2W010,412000127.0,,,Safety - Collision Reduction (201.015),320,20,620,960,Active,Along Route 80 mainline and ramps. Replace HOV Signs
MB000840,4,ALA,880,,,2W000,421000126.0,,,Safety - SI (201.010),120,20,300,440,Active,Along ALA I-880 Mainline and Ramps Install New Safety Signs
MB000841,4,SCL,101,,,2W020,421000128.0,,,Safety - SI (201.010),120,20,300,440,Active,Along SCL Route 101 Mainline and Ramps. Install New Safety Signs
MB000846,4,CC,4,R1.2,R1.2,1Q880,418000357.0,,,Safety - SI (201.010),300,50,175,525,Active,In Contra Costa County EB Route 4 Sycamore Ave. Construct Drainage Ditch and Replace Erosion Control
MB000847,4,SON,116,,,0W970,420000316.0,,,Safety - SI (201.010),350,40,333,723,Active,In Sonoma County near Sebastopol on NB Route 116 just north of Bloomfield Road. Extend Culvert and Grade Ditch
MB000848,4,SOL,80,,,2W080,421000134.0,,,Safety - Collision Reduction (201.015),260,20,120,400,Active,"WB Off Ramp to Manuel Campos Pkwy, Fairfield. Install Midwest Guardrail System (MGS)"
MB000849,4,MRN,101,,,2W070,421000133.0,,,Safety - Collision Reduction (201.015),290,20,280,590,Active,"SB Off Ramp to Spencer Avenue, Sausalito. Relocate/reconstruct Sign Structure"
MB000850,4,MRN,1,,,2W060,421000132.0,,,Safety - Collision Reduction (201.015),290,20,250,560,Active,In the community of Stinson Beach and at Stinson School. Install two electronic speed feedback signs (ESFS) and Rectangular Rapid Flashing Beacons (RRFB)
MB000851,4,SON,1,,,2W050,421000131.0,,,Safety - Collision Reduction (201.015),140,20,100,260,Active,South of Habour Way and North of North Habour Way. Install two electronic speed feedback signs (ESFS)
MB000852,4,CC,680,,,2W090,421000135.0,,,Safety - Collision Reduction (201.015),220,20,330,570,Active,"SB On Ramp from Marina Vista Ave., Martinez. Upgrade guardrail/install concrete barrier."
MB000869,4,CC,4,R14.549,R14.549,2W240,421000159.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,04-CC-4 PM 14.549 Install deterrent barriers on the SR-4 EB Off-Ramp to Port Chicago Highway in the City of Concord of Contra Costa County.
MB000934,4,SM,1,35.2,35.2,1W430,421000015.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"Route 1 at Virginia Avenue, in Moss Beach, San Mateo County / Install Rectangular Rapid Flashing Beacons (RRFB)"
MB000936,4,ALA,84,R24.8,R24.8,1W390,421000008.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"Route 84, North of Vineyard Ave in Livermore, Alameda County / Repair Pavement Settlement"
MB000937,4,MRN,1,0.04,0.04,0W660,420000275.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,04-Mrn-1 PM 0.04; Pavement Failure
MB000956,4,CC,4,,,0W820,420000298.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"CC-RTE 4-PM16.76; In Contra Costa County, on Route 4 near Willow Pass Road. Slope paving at Br No.28-0246 L/R, western and eastern abutments."
MB000957,4,ALA,880,,,2W180,421000146.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,Southbound 880 near Hegenberger Road in the City of Oakland. Repair damaged overhead sign.
MB000959,4,ALA,880,,,2AC30,420000116.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"In Alameda County, in the City of Fremont on Route 880 near Thornton Avenue. Injection grouting."
MB000960,4,SOL,113,,,3Q720,419000248.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"SOL-RT 113-PM 4.1 In Solano County, on Route 113 near Creed Road."
MA000963,4,SCL,680,,,2W630,421000246.0,,,Pavement (201.121),450,5,1000,1455,Active,In Santa Clara County on Route 680 at Capital Expressway UC and Hostetter Rd UC / Replace approach and departure PCC Slabs
MA000964,4,ALA,680,,,2W650,421000248.0,,,Drainage (201.151),250,100,600,950,Active,"On Route 680, just north of Pleasanton Sunol Road undercrossing / Implement Culvert Lining at 6 Locations"
MA000965,4,ALA,680,,,2W640,421000247.0,,,Drainage (201.151),475,150,1250,1875,Active,"On Route 680, between south of Happy Valley Road and Koopman Road /Implement Culvert Lining at 15 Locations"
MA000967,4,ALA,680,,,2W460,421000207.0,,,Drainage (201.151),475,20,1000,1495,Active,In Alameda County in Pleasanton at S Pleasanton OH / Slope Repair and Drainage Rehabilitation
MB000968,4,ALA,580,,,2W600,421000243.0,,,Pavement (201.121),130,5,300,435,Active,In Alameda County in Oakland at 14th Ave UC / PCC Slab Replacement
MA000971,4,MRN,101,,,2W510,421000221.0,,,Roadside (201.250),420,10,1000,1430,Active,In Marin County at the H. Dana Bowers Safety Roadside Rest Area (SRRA). Rehabilitate water and waste water system.
MB000972,4,ALA,980,1.2,1.2,0W640,420000272.0,,,Facilities - Office Buildings (201.353),250,0,314,564,Active,"In Alameda County, in Oakland at the District 4 Office Building."
MB001031,4,SCL,9,6.15,6.15,2W110,421000138.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"Failed culvert in Santa Clara County, in City of Saratoga, on Route 9 Congressional Springs Road / Big Basin Way."
MB001084,4,ALA,880,,,3W400,421000360.0,,,Mobility - WIM Scales & CVEFs (201.321),100,0,250,350,Active,"In Alameda County on I880, restore/upgrade the facility cameras at two Commercial Vehicle Enforcement Facilities"
MB001085,4,SM,280,,,,,,,Facilities (201.352),280,0,320,600,Active,"In San Mateo County on I280 at Post Mile 1.3, upgrade the pump station electrical system located at Canada Rd OC (no end of life replacement)."
MA001086,4,SCL,25,,,2W770,421000275.0,,,Mobility - Operational Improvements (201.310),390,5,800,1195,Active,"At the intersection of Bolsa Rd. and SR 25, near Gilroy Install receiving lane from Bolsa onto SB SR 25. Partnership with local development project Santa Clara County Z-Best Project."
MB001127,4,MRN,1,3.5,3.5,2W500,421000220.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,04-MRN-101-PM 3.5 Drainage Line Repair: in the gore area between SB Route 101 and the off-ramp to Donohue Street.
MB001128,4,SCL,101,R16.5,R16.5,0W930,420000310.0,,,Major Damage - Emergency Opening (201.130),0,0,330,330,Active,"In Santa Clara County, at northbound 101, near Dunne Ave. in the city of Morgan Hill / Replace section of 24"" CMP culvert at sinkhole and install plastic pipe liner in the existing cross culvert"
MB001166,4,SCL,82,25.45,25.45,2W350,421000186.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"Various Intersections across Santa Clara, Solano, and Alameda counties; Traffic signal loop/DLC/splice replacement and minor electrical work (conduit, pull box, etc.)"
MB001204,4,SF,280,R4.23R,R4.23R,0W940,420000311.0,,,Major Damage - Emergency Opening (201.130),0,0,250,250,Active,"Caltrans Rickard Street Maintenance Yard near the interchange of Route 280 and 101 in the City of San Francisco, San Francisco County / Repair pavement settlement"
MB001208,4,ALA,238,15.1,15.1,2W830,421000284.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"In Alameda County, in the City of Hayward, at the 170th Ave. onramp to northbound Route 238 / Repair segment of soundwall that was damaged during vehicle collision"
MB001255,4,SOL,80,14.6,14.0,1W660,421000070.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"Repair portions of pavement settlement on east-bound Route 80, from postmile (PM) 14.0 to postmile (PM) 14.60 in the City of Fairfield, Solano County."
MB001256,4,CC,4,R28.3,R28.33,2W410,421000198.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"Replace a failed culvert on westbound Route 4 and Sunset Drive, near Cavallo Road (PM 28.3), in Antioch, Contra Costa County. (Located on right embankment slope side from north of Sound wall to Sunset Drive"
MB001262,4,NAP,29,46.92,46.92,2W560,421000236.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"On Route 29, 10 miles northeast of Calistoga in Napa County, on Lake County Highway."
MB001263,4,SM,1,41.1,41.6,3W450,421000368.0,,05/26/21,Major Damage - Emergency Opening (201.130),0,0,0,0,Active,"04-SM 1 PM 41.1, and 41.6; Replace Culverts City of Pacifica"
MB001266,4,ALA,880,12.3,12.3,3W460,421000369.0,,05/26/21,Major Damage - Emergency Opening (201.130),0,0,0,0,Active,"04-ALA-880 NB PM 12.3 Repair Soundwall, next to the Tropics Mobile Home Park in Alameda County."
MB001270,4,CC,80,6.48,6.48,2W280,421000168.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"IN CONTRA COSTA COUNTY RT 80 PM6.48, ALAMEDA COUNTY RT 580 PM R47.548 and 46.14, AND SAN FRANCISCO COUNTY RT 80 PM 5.172, 5.58, 5.876L. INSTALL 6 LEFT EXIT SIGNS."
MB001271,4,CC,80,4.06,4.06,3W440,421000367.0,,,Major Damage - Emergency Opening (201.130),0,0,330,330,Active,"Repair the damaged soundwall on Route 80, next to the Riverside Elementary School, in the City of San Pablo in Contra Costa County."
MB001273,4,CC,680,R2.89,R2.89,3W480,421000373.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"Bollinger Canyon Road overpass towards southbound 680 in the city of San Ramon, Contra Costa County / Repair pavement settlement with AC paving and cement compaction grouting"
MB001282,4,MRN,101,10.8,11.15,3W470,421000370.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"Route 101 at the San Rafael Viaduct (Br. No. 27-0035R), in the City of San Rafael, Marin County / Repair Bridge Deck"
MB001284,4,CC,680,R7.02,R7.02,3W610,421000406.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"In Contra Costa County, in the Town of Danville, on northbound 680 at the Laurel Drive overcrossing / Replace approach slabs at Abutment 1, lanes 3 and 4"
MB001288,4,ALA,680,M0.38,M0.38,2W820,421000280.0,,,Major Damage - Emergency Opening (201.130),0,0,170,170,Active,Southbound Scott Creek Off-Ramp of Route 680 in the City of Fremont in Alameda County / Repair slope erosion on the outside shoulder
MB001289,4,ALA,580,45.175,46.137,3W590,421000394.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,Two locations on Eastbound Route 580 and one location on Westbound Route 80 in the City of Oakland in Alameda County / Replace damaged crash cushions
MB001334,4,SOL,80,,,3W810,422000043.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,04-SOL-80-PM 10.56 & PM R10.01 Pump Replacement in the City of Fairfield.
MB001341,4,SF,280,,,3W650,421000428.0,,,Major Damage - Emergency Opening (201.130),0,0,300,300,Active,04-SF-280- PM T7.022 - R6.958 (DDO) Bridge #: 34-0100 Install Chain Link Railing
MB001349,4,CC,24,,,3W740,422000030.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"To inject polyurethane foam injection at approach slabs at PM R5.97, R6.26 and R6.51 on EB Route 24"
MB001374,4,SOL,80,,,3W860,422000060.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,SOL-80-PM 3.7/3.80 & 04-SOL-780-7.07 Soundwall Repair
MB001395,4,MRN,1,,,4W470,422000154.0,,,Advance Mitigation/Mitigation (201.240),150,1,333,484,Active,In Marin County near Stinson Beach from Cold Stream to 0.2 mile south of Lone Tree Creek
MB001397,4,CC,4,,,4W220,422000127.0,,,Major Damage - Emergency Opening (201.130),0,0,290,290,Active,"On E/B Route 4 near San Marcos Blvd Off Ramp in City of Pittsburgh, Contra Costa County. Replace PCC Slabs (PM R18.327 & R18.452) and Inject Lightweight Expanded Polyurethane Material (LEPM) at PM R18.452. (RQS #0422*333)"
MB001419,4,CC,580,,,4W400,422000146.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,"Install Concrete barriers, fencing and access gates. The project is located in Contra Costa County, at Bayview Avenue, on westbound loop on-ramp route I-580, at PM 1.2."
MB001421,4,ALA,880,,,4W270,422000132.0,,,Safety - SI (201.010),250,20,300,570,Active,Install New Safety Signs
MA000021,5,SLO,46,49.6,49.6,1G370,515000005.0,,06/15/20,Roadside (201.235),0,0,0,0,Active,"In San Luis Obispo County, on Route 46 near Shandon at the Shandon Safety Roadside Rest Area. Expand wastewater treatment facilities."
MA000022,5,MON,1,0.0,0.0,1G760,515000101.0,2019.0,,Safety - Collision Reduction (201.015),250,7,875,1132,Active,"In Monterey and Santa Cruz Counties, on various routes at various locations. Electrical, signs, markings, pavement."
MA000023,5,SB,101,78.4,79.0,1H980,517000043.0,2019.0,,Pavement (201.120),691,3,1250,1944,Active,"In Santa Barbara County, near Santa Maria at Solomon Summit Undercrossing No. 51-191. Rehabilitate pavement."
MB000053,5,SLO,101,3.5,3.5,1J760,518000040.0,2019.0,,Mobility - TMS (201.315),270,3,314,587,Active,In San Luis Obispo County at Nipomo 1.4 miles south of Tefft Street OC. Install CMS
MB000055,5,SB,101,90.2,90.2,1J750,518000039.0,2019.0,,Mobility - TMS (201.315),270,5,333,608,Active,In Santa Barbara County in Santa Maria 0.5 mile north of Donovan Road OC. Install CMS
MB000056,5,SLO,101,27.5,27.5,1K740,519000006.0,2019.0,,Mobility - ADA (201.361),150,0,314,464,Active,"In San Luis Obispo County in San Luis Obispo at Madonna Road OC. Curb ramps, sidewalk and push buttons"
MB000057,5,SBT,101,1.25,1.4,1K750,519000017.0,2019.0,,Signs and Lighting (201.170),150,0,314,464,Active,In San Benito County - Southbound High Friction Surfacing
MA000128,5,SLO,101,55.4,58.4,1H360,516000114.0,,11/10/20,Roadside (201.210),0,0,0,0,Active,"In Paso Robles, from 0.2 mile south of the South Paso Robles Overhead to 0.2 mile north of the North Paso Robles Overhead. Upgrade irrigation to recycled water."
MA000296,5,SB,192,20.1,20.1,1M590,520000032.0,2019.0,,Drainage (201.151),1546,126,290,1962,Active,Culvert Replacement
MB000324,5,SB,101,21.8,22.0,1M240,519000085.0,2019.0,,Major Damage - Emergency Opening (201.130),41,0,270,311,Active,In Santa Barbara County in Goleta from mile north of San Jose Creek Bridge to mile south of Fairview Avenue Over Crossing. Grind and pave to correct cross slope. Install two drop inlets and connect to existing systems.
MB000335,5,SCR,17,3.6,3.5,1M250,519000086.0,2019.0,,Major Damage - Emergency Opening (201.130),80,0,260,340,Active,"In SCr County at Glen Canyon Road UC Dig outs, grind, pave approaches and polyester concrete overlay."
MA000348,5,SB,154,21.3,21.3,1H630,516000113.0,,12/03/20,Drainage (201.151),0,0,0,0,Active,"Near Lake Cachuma, at 0.3 mile west of Paradise Road. Culvert invert paving with fish passage."
MA000349,5,SLO,166,8.927,8.927,1M750,520000060.0,,,Mobility - Operational Improvements (201.310),808,25,1250,2083,Active,In San Luis Obispo County at the Route 101 and 166 interchange. Signalization at SLO-101/166 Interchange
MA000350,5,MON,1,71.9,72.3,1F650,514000043.0,2017.0,,Drainage (201.151),645,0,1000,1645,Active,"In Monterey County on Route 1, 0.2 miles south of Carmel River Bridge. Drainage Improvements (FCO)"
MA000351,5,SB,101,12.3,13.2,1K380,520000033.0,2019.0,,Roadside (201.210),542,20,1250,1812,Active,In Santa Barbara from Sycamore Crk Bridge (51-157) to 0.2 Miles South of Garden St - Rehab median landscape planting and irrigation
MA000352,5,MON,101,81.03,81.03,1M760,520000068.0,2017.0,,Mobility - Operational Improvements (201.310),838,25,1250,2113,Active,"In Monterey County south of Salinas at Spence Road. Extend NB Acceleration Lane to 1,410 feet plus taper"
MA000353,5,SB,101,82.1,90.9,1A640,500020420.0,2017.0,,Roadside (201.210),980,0,1250,2230,Active,"Santa Maria Planting and Rehab - In Santa Barbara County on Rte 101, 0.2 mile south of Clark Ave OC to the Santa Barbara/San Luis Obispo County line; and on Rte 135 from 0.2 mile couth of E Clark Ave UC to the Santa Maria Mtce Station"
MB000377,5,SB,192,3.9,3.9,1K930,519000040.0,2019.0,,Major Damage - Emergency Opening (201.130),108,0,170,278,Active,Replace drainage system in Santa Barbara County at various locations
MB000378,5,SB,101,50.4,90.4,1K530,518000219.0,2019.0,,Major Damage - Emergency Opening (201.130),240,0,333,573,Active,In Santa Barbara County at various locations
MB000379,5,SCR,152,T1.2,T1.6,1M670,520000039.0,2019.0,,Major Damage - Emergency Opening (201.130),150,0,333,483,Active,In Santa Cruz County in Watsonville on Route 152 from Martinelli Street to Coleman Avenue. Grind and replace HMA. Reset guardrail
MB000380,5,SB,1,18.0,18.0,1M660,520000038.0,2019.0,,Major Damage - Emergency Opening (201.130),70,0,135,205,Active,In Santa Barbara County at Various Locations. Replace or line culvert. Extend culvert.
MB000475,5,SB,101,0.0,0.0,1M690,520000042.0,2019.0,,Major Damage - Emergency Opening (201.130),100,0,150,250,Active,Repair Irrigation facilities in Santa Barbara and San Luis Obispo Counties at various locations prior to summer watering
MB000488,5,SB,192,0.3,0.3,1M930,520000095.0,,,Safety - Collision Reduction (201.015),130,5,199,334,Active,"In Santa Barbara County, in Santa Barbara at Cocopah Drive. Intersection improvements."
MB000489,5,SBT,129,R1.1,R1.1,1M940,520000096.0,,,Major Damage - Emergency Opening (201.130),0,0,130,130,Active,In San Benito County on State Route 129 at 1.4 mile south of Searle Road. Replace damaged guardrail to current standards.
MB000490,5,SB,101,12.2,12.2,1M880,520000090.0,,,Major Damage - Emergency Opening (201.130),117,0,175,292,Active,"In Santa Barbara County, in Santa Barbara at Salinas Street. Sewer repair."
MB000491,5,SB,101,,,1M890,520000091.0,,,Major Damage - Emergency Opening (201.130),204,0,333,537,Active,"In Santa Barbara County, in Santa Barbara from Milpas Street to Castillo Street. Replace fencing."
MB000492,5,SCR,1,,,1M970,520000099.0,,,Major Damage - Emergency Opening (201.130),185,0,300,485,Active,"In Santa Cruz County, near Davenport from Waddel Creek Bridge to San Mateo County line. Debris catchment cleanout."
MB000500,5,MON,1,83,83,1M700,520000043.0,2019.0,,Major Damage - Emergency Opening (201.130),100,0,333,433,Active,Various locations on various routes throughout the District
MB000501,5,SLO,101,R20.3,R20.3,1N200,520000151.0,2019.0,,Major Damage - Emergency Opening (201.130),75,0,250,325,Active,In San Luis Obispo County at various locations. Line culvert. Replace culvert. Install HMA dike.
MB000502,5,SBT,101,2.6R,2.7R,1N210,520000152.0,2019.0,,Major Damage - Emergency Opening (201.130),75,0,250,325,Active,Invert Pave culvert. Replace culvert. Clean culvert and outlet channel
MB000503,5,SB,101,.4,.4,1N220,520000153.0,2019.0,,Drainage (201.151),75,0,250,325,Active,Replace a portion of the culvert. Line entire culvert.
MB000504,5,SCR,9,4.3,4.3,1N230,520000154.0,2019.0,,Drainage (201.151),100,0,333,433,Active,In Santa Cruz County on 9 and 17 at various post miles drainage work.
MB000580,5,MON,68,,,1M840,520000086.0,,,Major Damage - Permanent Restoration (201.131),103,0,333,436,Active,"In Monterey County, in Salinas on Route 68 at John Street. Signal modification, pavement delineation changes."
MB000582,5,SB,101,R14.2,21.2,1M860,520000088.0,,,Mobility - TMS (201.315),185,0,300,485,Active,"In Santa Barbara County, in Santa Barbara and Goleta at various locations from Castillo Street to Patterson Avenue. Replace Closed Circuit Televisions (CCTVs) on existing poles."
MB000584,5,SB,101,,,1M900,520000092.0,,,Drainage (201.151),204,5,333,542,Active,"In Santa Barbara County, near Gaviota at 1.5 miles north of the Highway 1/101 Separation. Replace culvert."
MB000702,5,SB,101,R46.0,R46.0,1N240,520000155.0,,,Major Damage - Emergency Opening (201.130),166,0,333,499,Active,"In Santa Barbara County, in Gaviota at the Gaviota Curve. Rock net."
MB000703,5,MON,1,21.5,22.0,1N250,520000156.0,,,Major Damage - Emergency Opening (201.130),80,0,200,280,Active,"In Monterey County, near Lucia. Repair soldier pile wall."
MB000732,5,MON,101,R9.7,R9.7,1N260,520000157.0,,,Major Damage - Emergency Opening (201.130),0,0,215,215,Active,In Monterey County at the Jolon Road Undercrossing. Replace damaged guardrail to current standards. Set krail.
MA000734,5,MON,1,,,1N360,521000006.0,,,Drainage (201.151),400,0,1250,1650,Active,Rehabilitate drainage systems
MA000735,5,MON,1,,,1N370,521000008.0,,,Drainage (201.151),200,0,1000,1200,Active,Replace drainage system
MA000736,5,SLO,1,,,1N380,521000009.0,,,Drainage (201.151),400,0,1000,1400,Active,Rehabilitate drainage
MA000844,5,SLO,1,,,1N640,521000073.0,,,Mobility - Operational Improvements (201.310),1609,19,1165,2793,Active,"In San Luis Obispo County, at San Simeon, from 0.0 mile north of Pico Creek to 0.3 mile south of Pick Creek Bridge Shoulder widening at Vista Del Mar intersection with Hwy 1. 4000LF of shoulder"
MB000884,5,SB,101,,,1N730,521000090.0,,,Drainage (201.151),0,0,333,333,Active,"In Santa Barbara County at the Gaviota Tunnel and at .4 mile south of the Nojoqui Summit. 36"" and 48"" CMP Culvert Rehab/Replace"
MB000885,5,SB,246,,,1N740,521000091.0,,,Mobility - TMS (201.315),5,5,333,343,Active,In Santa Barbara County at .2 mile west of the 154/246 junction. Install CMS.
MB000886,5,SLO,101,,,1N750,521000092.0,,,Advance Mitigation/Mitigation (201.240),5,5,333,343,Active,In San Luis Obispo County on Highway 101 near the Route 58 separation. Install wildlife exclusionary fencing.
MB000887,5,SCR,1,,,1N760,521000093.0,,,Safety - Collision Reduction (201.015),0,0,200,200,Active,In Santa Cruz County at Route 001 and Berkshire Ave and Olive Street. Mission Street Flashing Beacon Updgrade.
MB000888,5,SB,101,,,1N770,521000094.0,,,Safety - Collision Reduction (201.015),0,0,100,100,Active,In Various Counties at Various Routes. Install left exit signs.
MB000889,5,MON,183,,,1N780,521000095.0,,,Major Damage - Permanent Restoration (201.131),0,0,333,333,Active,In Various Counties at Various locations. Various electrical work
MB000890,5,SB,101,,,1N790,521000096.0,,,Safety - Collision Reduction (201.015),0,0,75,75,Active,In Santa Barbara County at the intersection of 101 and Donovan. Modify signal.
MB000891,5,SB,192,,,1N800,521000097.0,,,Drainage (201.151),5,5,200,210,Active,In Santa Barbara County at Sycamore Canyon Rd & E. Valley Rd. Address culvert.
MB000892,5,SLO,1,,,1N810,521000109.0,,,Mobility - TMS (201.315),0,0,333,333,Active,In San Luis Obispo County on Highway 1 near San Simeon. Install CMS.
MB000893,5,SB,101,,,1N820,521000110.0,,,Major Damage - Permanent Restoration (201.131),0,0,250,250,Active,Irrigation Repairs at Various Locations.
MB000919,5,MON,1,R76.3,R76.3,1M980,520000100.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,In Monterey County on Various Routes at Various Locations. Line culvert. Repair culvert. Replace dike.
MB000920,5,SB,1,23.1,23.2,1N270,520000158.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,In Santa Barbara County on State Route 1 at Harris Grade Road. Abandon culvert. Install new culvert. Restore roadway. Modify drainage.
MB001104,5,SB,101,19.8,20.1,1N000,520000106.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,In Various Counties on Various Routes at Various Locations. Repair and Replace irrigation facilities and provide traffic control.
MB001210,5,SB,150,0.3,0.3,1N460,521000020.0,,,Major Damage - Emergency Opening (201.130),0,0,150,150,Active,In Santa Barbara County on State Route 150 at .3 mile from Highway 101. Replace culvert
MB001211,5,SB,101,30.1,30.1,1N020,520000104.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,In Santa Barbara County on Highway 101 at Dos Pueblos Creek Bridge. Repair slope.
MB001212,5,SB,101,R49.6,R49.6,1N010,520000107.0,,,Major Damage - Emergency Opening (201.130),0,0,333,333,Active,In Santa Barbara County on Highway 101 at .8 mile north of the 1/101 separation. Repair slope.
